LCP,json_inside_zip,min_talent_rank,Parent_ID,Name,Trigger,Frequency,Detail
lancer-data-master.lcp,systems.json,,ms_stasis_bolt,Interdiction Point,You or an allied character within range 5 are targeted by a ranged attack.,1/round,"Make a contested ranged attack roll: if you win the contested roll, the attack automatically misses. The Stasis Bolt loses its charge."
lancer-data-master.lcp,systems.json,,ms_turret_drones,Turret Attack,An allied character within Range 10 of a turret drone makes a successful attack.,1/round,"The turret drone deals 3 Kinetic damage to their target, as long as it has line of sight to their target."
lancer-data-master.lcp,weapons.json,,mw_autopod,Autonomous Assault,Another character attacks a target within range 15 of you and consumes Lock On,1/round,You may automatically hit their target with the Autopod.
lancer-data-master.lcp,weapons.json,,mw_vorpal_gun,Snicker-Snack,A hostile character within Range of the Vorpal Gun and line of sight deals damage to an allied character.,1/round,You may make an attack against the hostile character with the Vorpal Gun.
lancer-data-master.lcp,talents.json,1,t_ace,Acrobatics,Any time an attack misses you.,Unlimited,You may fly up to 2 spaces in any direction.
lancer-data-master.lcp,talents.json,3,t_ace,Supersonic,Your target's turn ends.,1/round,You fly to a space free and adjacent to them. There must be a path to do so but you can move even if the nominated character is no longer within your movement range or line of sight. This ignores engagement and does not provoke reactions.
lancer-data-master.lcp,talents.json,2,t_bonded,Intercede,You are adjacent to your Bondmate (pilot or mech) and they take damage from a source within your line of sight.,1/round,You may take the damage instead.
lancer-data-master.lcp,talents.json,2,t_duelist,Parry,You are hit by a melee attack,Unlimited (as long as you have Blademaster Die remaining),"Expend 1 Blademaster die. You gain Resistance to all damage, heat, and burn dealt by the attack."
lancer-data-master.lcp,talents.json,2,t_duelist,Deflect,You are hit by a ranged attack,Unlimited (as long as you have Blademaster Die remaining),"You may roll any number of Blademaster Dice, expending them: if you roll a 5+ on any of these dice, you gain Resistance to all damage, heat, and burn dealt by the attack."
lancer-data-master.lcp,talents.json,1,t_exemplar,Valiant Aid,Ally attacks your mark and misses.,1/round,"Your ally may reroll the attack. They must use the second result, even if it's worse."
lancer-data-master.lcp,talents.json,2,t_gunslinger,Return Fire,A character hits you with a ranged attack.,1/round,You may immediately attack them with a single Auxiliary ranged weapon if they are within Range.
lancer-data-master.lcp,talents.json,1,t_heavy_gunner,Covering Fire Attack,The target of your Covering Fire moves more than 1 space.,1/round,"You may attack the target with a Heavy ranged weapon for half damage, Heat, or Burn. You can make this attack at any point during their movement (e.g., waiting until they exit cover)."
lancer-data-master.lcp,talents.json,2,t_leader,Issue Command,Another player starts their turn.,Unlimited,"You may issue a command to an allied PC you can communicate with, describing a course of action, and give them a Leadership Die. They may either expend the Leadership Die to gain +1 Accuracy on any action that directly follows from that order, or they may return it to you as a free action. Allies can have one Leadership Die at a time, which lasts until used or until the end of the current scene."
lancer-data-master.lcp,talents.json,3,t_tactician,Flank,A character who doesn't have cover from your position is successfully attacked by an allied character.,1/round,"You may target them with Overwatch, dealing half damage, heat or burn on a hit"
lancer-data-master.lcp,actions.json,,,Brace,You are hit by an attack and damage has been rolled.,1/round,"You count as having RESISTANCE to all damage, burn, and heat from the triggering attack, and until the end of your next turn, all other attacks against you are made at +1 difficulty. Due to the stress of bracing, you cannot take reactions until the end of your next turn and on that turn, you can only take one quick action, you cannot OVERCHARGE, move normally, take full actions, or take free actions."
lancer-data-master.lcp,actions.json,,,Overwatch,A hostile character starts any movement (including BOOST and other actions) inside one of your weapons THREAT.,1/round,"Trigger OVERWATCH, immediately using that weapon to SKIRMISH against that character as a reaction, before they move."
long-rim-data-1.2.1.lcp,frames.json,,mf_atlas,Jaeger Dodge,You take damage from a character larger than yourself,1/round,"Gain resistance to that damage and move 3 spaces in any direction, ignoring engagement and reactions."
long-rim-data-1.2.1.lcp,frames.json,,mf_lich,Soul Vessel,"The Lich is hit by an attack, fails a save or check, or takes damage or heat from any source (even itself)",1/round,"Immediately gain IMMUNITY to all damage, heat, or conditions from that effect. It then teleports to the marker or as close as possible."
long-rim-data-1.2.1.lcp,systems.json,,ms_jaeger_kunst_ii,Fatal Clash,You take damage from or deal damage with a melee attack,1/round,"After damage has been resolved, you and your target each roll a contested Hull or Agility check (each party choosing which to roll). The loser is knocked Prone, takes 1d6 kinetic damage, and is knocked back 3 spaces in a direction chosen by the winner. The winner may then move 3 spaces in any direction, ignoring engagement and not provoking reactions. The loser may immediately take 2 AP kinetic damage to force the contest to be rerolled. This damage cannot be prevented or reduced in any way.<br>If the result is a tie, the contest immediately ends. Otherwise, the contest continues until one character loses without forcing a re-roll or would take structure damage, in which case they immediately lose."
long-rim-data-1.2.1.lcp,weapons.json,,mw_terashima_blade,Storm Stance Reaction,After hitting with this weapon while in Storm Stance.,1/round,You may immediately deal 2 kinetic to all other characters adjacent to you and your target.
osr-data-1.1.2.lcp,systems.json,,ms_pattern_c_advanced_charges,Selective Detonation,"A character enters the lurker mine's space or an adjacent space, or begins their turn there.",1/Mine,"The mine detonates and affected characters must pass an Agility save or take 2d6 explosive damage. On a success, they take half damage."
ssmr_1.6.5.lcp,talents.json,1,mf_orator,Convincing Rhetoric,You or an allied character takes the Scan Quick Tech action against a hostile character.,1/round,You open an isolated comms channel with your target and they become Impaired. This lasts until they succeed on a Systems check at the end of their turn. They cannot clear Impaired any other way. Using this reaction again on a new character ends the Impaired condition early.
ssmr_1.6.5.lcp,systems.json,,ms_exo_kinesthetic_suit_upgrade,Spatial Awareness,A character ends a movement adjacent to you.,1/round,"You may Boost, ignoring reactions and engagement. After doing so, attacks against you receive +1 Difficulty until the end of your next turn."
wallflower-data-2.1.0.lcp,talents.json,1,t_empath,Sympathetic Precognition,"An allied character in line of sight makes a skill check, attack, or save.",1/scene,"That character may choose not to roll, instead treating their check, attack, or save as if they had rolled a 10 on the d20."
